link,title,surface_totale,surface_habitable,chambre,bain,price,ville,time,secteur,type,age,etage,salon,description,Concierge,Balcon,Terrasse,Securite,Parking,Ascenseur,Climatisation,CuisineEquipee,Garage,Chauffage,Piscine,Jardin,Titre,Loti,Duplex,Meuble
link,title,surface_totale,surface_habitable,chambre,bain,price,ville,time,secteur,type,age,etage,salon,description,Concierge,Balcon,Terrasse,Securite,Parking,Ascenseur,Climatisation,CuisineEquipee,Garage,Chauffage,Piscine,Jardin,Titre,Loti,Duplex,Meuble
https://www.avito.ma/fr/wifak/appartements/Appartement_en_Vente_%C3%A0_wifak_48538825.htm,Appartement en Vente à wifak,--,98 m²,2,2,980000,Temara,19:41,Wifak,"Appartements, Vente",,3,1,"Description
Appartement à vendre à wifak dans une résidence calme et sécurisée avec garage sous terrain l'appartement se compose de deux chambres avec placards Salon séjour cuisine équipée sdb et toilette.
PoVoir plus",1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/quartier_des_hopitaux/appartements/Appartement_131m_Haut_Standing_A_BD_Anoual_47300754.htm,Appartement 131m Haut Standing A BD Anoual,--,,3,2,1450000,Casablanca,19:39,Quartier des Hôpitaux,"Appartements, Vente",,3,1,"Description
Appartement 131m Haut Standing A BD Quartiers Des Hôpitaux Bien ensoleillée
Dans une résidence agréable il se compose
Grand Salon 3chambres 2sdb cuisine balcon Avec ascenseur et garage Voir plus",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/mhamid/appartements/Appartement_en_Vente_%C3%A0_mhamid_maatla_Marrakech_48571636.htm,Appartement en Vente à mhamid maatla Marrakech,54 m²,,2,1,340000,Marrakech,19:38,M'Hamid,"Appartements, Vente",,2,1,"Description
appartement a vendre a résidence atlasi mhamid a marrakech surface totale 54m2 compose a 2 chambre et un Salone te un salle de bain avec un cuisine équipé. Immeuble a 2 étage seulement et appartement Voir plus",0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/tit_mellil/appartements/Appartement_134_m%C2%B2_%C3%A0_Tit_Mellil_casablanaca_48515696.htm,Appartement 134 m² à Tit Mellil casablanaca,134 m²,124 m²,3,2,690000,Tit Mellil,11:53,Toute la ville,"Appartements, Vente",Neuf,1,2,"Description
Nous vous proposons un appartement de luxe d’une superficie de 134 m² entouré d’espaces verts, à un prix très intéressant ,100% déclaré !

De plus sa finition et ses équipements de qualité, cVoir plus",0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
https://www.avito.ma/fr/had_soualem/appartements/appartement_Rdc_had_soualem__48056440.htm,appartement Rdc had soualem,84 m²,84 m²,3,2,440000,Had Soualem,19:38,Toute la ville,"Appartements, Vente",Neuf,Rez de chaussée,1,"Description
appartement avec garage de voiture bien ensoleillé sans vis-à-vis .chambre parents avec salle de bain chambre enfant cuisine équipée un grand salon salle de bains pour visiteur et un cœur + tairase",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/lissasfa/appartements/Appartement_en_Vente_%C3%A0_Casablanca_47856644.htm,Appartement en Vente à Casablanca,70 m²,70 m²,2,1,665000,Casablanca,23:36,Lissasfa,"Appartements, Vente",Neuf,1,1,"Description
Abouab Al Oulfa vous propose des appartements très bien situé dans une résidence sécurisée se composant d'un salon, deux chambres, une cuisine plus salle de bain, la résidence dispose également d'espaVoir plus",1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/oulfa/appartements/Appartement_en_Vente_%C3%A0_Casablanca_46939792.htm,Appartement en Vente à Casablanca,--,,2,1,769500,Casablanca,23:36,Oulfa,"Appartements, Vente",Neuf,1,1,"Description
Abouab Al Oulfa vous propose des appartements moyen standing dans une résidence fermée et sécurisée avec des superficies de 65 à 108 m2 proche de toutes commodités (bus tram, écoles, supermarchés, cafVoir plus",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_Casablanca_42528464.htm,Appartement à Casablanca,85 m²,85 m²,3,2,810000,Casablanca,23:36,Oulfa,"Appartements, Vente",Neuf,,1,"Description
Bénéficiant d'un emplacement central au cœur du quartier OULFA de Casablanca, la résidence ABOUAB OULFA vous propose des Appartements de haut standing au prix du moyen avec des prestations de qualité Voir plus",1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/oulfa/appartements/Bel_Appartement_en_vente_%C3%A0_Casablanca_OULFA_42563299.htm,Bel Appartement en vente à Casablanca OULFA,71 m²,71 m²,2,1,680000,Casablanca,23:36,Oulfa,"Appartements, Vente",Neuf,1,1,"Description
Bénéficiant d'un emplacement central au cœur du quartier OULFA de Casablanca, la résidence ABOUAB OULFA vous propose des Appartements de haut standing de 49 à 107m² avec des prestations de qualité suVoir plus",1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
