link,title,surface_totale,surface_habitable,chambre,bain,price,ville,time,secteur,type,age,etage,salon,description,Concierge,Balcon,Terrasse,Securite,Parking,Ascenseur,Climatisation,CuisineEquipee,Garage,Chauffage,Piscine,Jardin,Titre,Loti,Duplex,Meuble
https://www.avito.ma/fr/centre_ville/appartements/saroute_appartement__48760839.htm,saroute appartement,84 m²,,2,1,280000,Casablanca,21:23,Centre Ville,"Appartements, Vente",,3,2,"Description
Curieux et intermédiaires merci de s'abstenir, Pour des raisons de déménagement a l'étranger, je vous propose saroute d'un bel appart, Ensoleillé toute la journée avec un emplacement idéal, proche de Voir plus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/bernoussi/appartements/%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_67%D9%85%D8%AA%D8%B1_%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA_%D9%81%D8%A7%D9%84%D8%A7%D8%B3%D9%81%D9%84_48760800.htm,شقة للبيع 67متر المعلومات فالاسفل,67 m²,67 m²,2,--,460000,Casablanca,21:19,Bernoussi,"Appartements, Vente",,2,1,"Description
شقة للبيع 67 متر الطابق الثاني . 2 غرف و صالون و سيجور و بالكون و مكان خاص بالصطح . بالبرنوصي قدام الطاك (casabus) الثمن 46 مليون قابلة للنقاش",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/maarif/appartements/Appartement_94m2_%C3%A0_El_Maarif_47204706.htm,Appartement 94m2 à El Maarif,94 m²,,2,2,1749000,Casablanca,21:17,Maarif,"Appartements, Vente",Neuf,,2,"Description
Découvrez « La résidence les Orchidées », une réalisation unique située au cœur de l’un des quartiers les plus prisés à Casablanca.
À l’image des biens qu’elle propose, la résidence les Orchidées Voir plus",1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
https://www.avito.ma/fr/bourgogne/appartements/%D8%B4%D9%82%D8%A9_59%D9%85%C2%B2_%D8%AA%D8%B7%D9%84_%D8%B9%D9%84%D9%89_%D9%85%D8%B3%D8%AC%D8%AF_%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A_%D8%A8%D9%88%D8%B1%D9%83%D9%88%D9%86__46176346.htm,شقة 59م² تطل على مسجد الحسن الثاني بوركون,59 m²,59 m²,2,2,950000,Casablanca,21:09,Bourgogne,"Appartements, Vente",21+ ans,1,1,"Description
Facile immobilier offre,des appartements neufs et de standing a vende à Sidi Rahal Plage a 20min de Morocco Mall Casablanca, à 10 minutes à pied de la Plage splendide et 15 min de L'autoroute EL jadidVoir plus",1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1
https://www.avito.ma/fr/sidi_moumen/appartements/Appartements_en_vente_%C3%A0_Casablanca_45673512.htm,Appartements en vente à Casablanca,79 m²,79 m²,2,2,570000,Casablanca,21:05,Sidi Moumen,"Appartements, Vente",Neuf,1,1,"Description
Des appartements sur Casablanca - Sidi moumen exactement Quartier Agdal , un endroit calme et securisé , avec un empalcement idéal proche de toutes comodités ( Mosqué , école privées , marché , hopiVoir plus",1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_maarouf/appartements/Appart_133m2_Bouskoura_Mirabel_5min_de_sidimaaroof_44201800.htm,Appart 133m2 Bouskoura Mirabel 5min de sidimaaroof,133 m²,133 m²,3,3,1185000,Casablanca,21:05,Sidi Maarouf,"Appartements, Vente",Neuf,2,2,"Description
Studio haut standing de 133m2 à Mirabel3 living à Lotissement Izdihar juste après la gare de BOUSKOURA BOUSKOURA
11min de CASANEARSHORE. Par Bld Sidi marouf

3 chambre dont suite parenVoir plus",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/californie/appartements/Des_Apparts_Neuf_69m_A_124m_Californie_48760670.htm,Des Apparts Neuf 69m A 124m Californie,--,,--,--,1070000,Casablanca,21:05,Californie,"Appartements, Vente",,,,"Description
Les Allées de Californie lance sa 2ème tranche !
Composée de 4 immeubles en R+4, Les Allées de Californie 2 est une résidence fermée et sécurisée située au quartier Californie qui vous propose desVoir plus",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
https://immoneuf.avito.ma/fr/unite/jvw?utm_source=avito_integration&utm_medium=listing_integration,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/derb_ghallef/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca_Derb_Ghellaf__48690437.htm,Appartement à vendre à Casablanca Derb Ghellaf,120 m²,118 m²,3,2,1209000,Casablanca,19 Janvier,Derb Ghallef,"Appartements, Vente",6-10 ans,1,2,"Description
spacieux appartement de 120m (118 titrés) à vendre au quartier famille françaises Derb Ghallef situé au 1er étage avec ascenseur.
Composé de: 1 séjour, 1 salon, 3chambres dont la chambre parentaleVoir plus",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/val_fleuri/appartements/Appartement_en_Vente_%C3%A0_Casablanca_46682776.htm,Appartement en Vente à Casablanca,--,119 m²,3,2,2058700,Casablanca,19 Janvier,Val Fleuri,"Appartements, Vente",Neuf,2,1,"Description
Des appartements haut standing de trois chambres dans notre projet étoile d'or val fleuri dispose de tous les atouts pour vous plaire et vous bénéficiez des équipements ci après:
-Marbre perlatinVoir plus",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
